id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,total_area,property_age,price_per_sqft,year,month,year_month,city_state
6190700284,2014-06-20,420000.0,5,2.75,2280,10319,1.0,0,0,3,8,1300,980,1959,0,98177,47.7566,-122.363,2370,8056,12599,66,184.21052631578948,2014,June,2014-06,"Seattle, Washington"
3623029034,2015-03-11,230000.0,3,1.0,1120,32250,1.0,0,0,4,6,1120,0,1934,0,98070,47.447,-122.482,1010,335289,33370,91,205.35714285714286,2015,March,2015-03,"Vashon, Washington"
5113200310,2014-09-09,270000.0,3,1.0,1240,14110,1.0,0,0,4,7,1240,0,1972,0,98058,47.4579,-122.09,2060,19350,15350,53,217.74193548387098,2014,September,2014-09,"Renton, Washington"
7010700660,2015-04-28,807000.0,3,2.5,1940,4000,2.0,0,0,4,9,1940,0,2000,0,98199,47.659,-122.398,1410,4000,5940,25,415.97938144329896,2015,April,2015-04,"Seattle, Washington"
4222200280,2014-10-21,225000.0,3,2.0,1460,7740,1.0,0,0,3,7,1460,0,1968,0,98003,47.3467,-122.306,1540,7644,9200,57,154.1095890410959,2014,October,2014-10,"Federal Way, Washington"
3432500705,2014-10-21,410000.0,4,2.25,2200,8292,2.0,0,0,3,7,2200,0,1990,0,98155,47.7456,-122.315,1090,8290,10492,35,186.36363636363637,2014,October,2014-10,"Seattle, Washington"
5560000650,2014-12-02,135000.0,3,1.0,1520,8450,1.0,0,0,2,6,1120,400,1961,0,98023,47.328,-122.337,1320,8450,9970,64,88.8157894736842,2014,December,2014-12,"Federal Way, Washington"
2325039084,2014-12-17,550000.0,2,1.75,1740,7290,1.0,0,0,3,8,1280,460,1950,0,98199,47.6461,-122.397,1820,6174,9030,75,316.0919540229885,2014,December,2014-12,"Seattle, Washington"
2140900100,2015-02-03,289000.0,4,2.5,1961,3207,2.0,0,0,3,7,1961,0,2006,0,98042,47.3507,-122.16,1961,3401,5168,19,147.37378888322286,2015,February,2015-02,"Kent, Washington"
9545240180,2014-06-16,575000.0,4,2.5,2120,9603,2.0,0,0,3,8,2120,0,1985,0,98027,47.5348,-122.053,1990,9611,11723,40,271.22641509433964,2014,June,2014-06,"Issaquah, Washington"
5021900265,2014-07-02,659000.0,4,2.0,2090,10800,1.0,0,0,4,7,2090,0,1951,0,98040,47.5759,-122.223,2090,10800,12890,74,315.311004784689,2014,July,2014-07,"Mercer Island, Washington"
5126900310,2015-03-25,150000.0,2,1.0,1100,7200,1.0,0,0,4,6,1100,0,1944,0,98058,47.4752,-122.172,1390,7200,8300,81,136.36363636363637,2015,March,2015-03,"Renton, Washington"
4278900055,2014-05-28,599000.0,4,2.75,2020,2750,1.0,0,0,3,8,1010,1010,1917,2014,98122,47.6053,-122.291,1840,4000,4770,108,296.53465346534654,2014,May,2014-05,"Seattle, Washington"
9390700095,2014-08-08,407500.0,2,1.0,770,2971,1.0,0,2,3,7,770,0,1923,0,98102,47.6358,-122.322,1440,4000,3741,102,529.2207792207793,2014,August,2014-08,"Seattle, Washington"
6117501015,2014-06-06,387500.0,3,1.0,1560,14333,1.0,0,0,4,7,1560,0,1953,0,98166,47.432,-122.348,1640,14333,15893,72,248.39743589743588,2014,June,2014-06,"Seattle, Washington"
